genus,species,common_names,regions
Shorea,farinosa, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,foxworthyi,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,gibbosa, yellow meranti,IDN;MYS;THA
Shorea,gisok,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,glauca,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,gratissima, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,guiso,balau red ,IDN;MYS;PHL;THA;DEU;GBR
Shorea,gysbertsiana, light red meranti,IDN;MYS;PHL;THA
Shorea,hemsleyana, dark red meranti; dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,henryana, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,hentonyensis, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,hopeifolia, yellow meranti,IDN;MYS;THA
Shorea,hypochra, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,inaequilateralis,balau red ,IDN;MYS;PHL;THA;DEU;GBR
Shorea,johorensis, light red meranti,IDN;MYS;PHL;THA
Shorea,kunstleri,balau red ,IDN;MYS;PHL;THA;DEU;GBR
Shorea,laevifolia,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,laevis,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,lamellata, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,lepidota, light red meranti,IDN;MYS;PHL;THA
Shorea,leprosula, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,leptoclados, light red meranti,IDN;MYS;PHL;THA
Shorea,longisperma, yellow meranti,IDN;MYS;THA
Shorea,macrantha, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,macrophylla, light red meranti,IDN;MYS;PHL;THA
Shorea,macroptera, light red meranti,IDN;MYS;PHL;THA
Shorea,materialis,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,maxima, yellow meranti,IDN;MYS;THA
Shorea,maxwelliana,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,multiflora, yellow meranti,IDN;MYS;THA
Shorea,obtusa,balau yellow ;sal,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR;
Shorea,ochracea, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,ochrophloia,balau red ,IDN;MYS;PHL;THA;DEU;GBR
Shorea,ovalis, light red meranti,IDN;MYS;PHL;THA
Shorea,ovata, dark red meranti,IDN;MYS;PHL;GBR;USA
Shorea,pachyphylla, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,palembanica, light red meranti,IDN;MYS;PHL;THA
Shorea,parvifolia, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,pauciflora, dark red meranti,IDN;MYS;PHL;GBR;USA
Shorea,peltata, yellow meranti,IDN;MYS;THA
Shorea,platycarpa, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,platyclados, dark red meranti,IDN;MYS;PHL;GBR;USA
Shorea,polita, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
