genus,species,common_names,regions
Guibourtia,ehie,ovengkol,CIV;GNQ;GAB;GHA;USA
Guibourtia,pellegriniana,bubinga,CMR;GAB;GBR
Guibourtia,spp.,bubinga,CMR;GAB;GBR
Guibourtia,tessmannii,bubinga,CMR;GAB;GBR
Haldina,cordifolia,haldu,KHM;IND;IDN;LAO;MYS;MMR;PHL;LKA;THA;VNM
Hallea,ciliata,abura,AGO;CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;UGA;COD;ZMB;FRA
Hallea,rubrostipulata,abura,AGO;CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;UGA;COD;ZMB;FRA
Hallea,stipulosa,abura,AGO;CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;UGA;COD;ZMB;FRA
Handroanthus,capitatus,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Handroanthus,heptaphyllus,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Handroanthus,impetiginosus,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Handroanthus,serratifolius,ipé,ARG;BOL;BRA;COL;GUF;GUY;PRY;PER;SUR;TTO;VEN
Haplormosia,monophylla,idewa,LBR
Heritiera,albiflora,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,borneensis,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,densiflora,niangon,CIV;GAB;GHA;LBR;SLE
Heritiera,javanica,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,kuenstleri,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,simplicifolia,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,spp.,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,sumatrana,mengkulang,KHM;IDN;MYS;MMR;PHL;THA;VNM;AUS
Heritiera,utilis,niangon,CIV;GAB;GHA;LBR;SLE
Hevea,brasiliensis,hevea,BRA;GUY;MYS;PER;THA;VEN;GBR;USA
Hieronyma,spp.,pilon,BLZ;BRA;COL;ECU;HND;NIC;VEN
Holoptelea,grandis,kékélé,BEN;CMR;CAF;COG;CIV;COD;GHA;NGA;UGA
Homalium,spp.,malas,IDN;MYS;PHL;MMR;LAO
Hopea,apiculata,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,griffithii,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,lowii,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,mengarawan,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,nervosa,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,odorata,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,papuana,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,sangal,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,spp.,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Hopea,sulcata,merawan,KHM;IDN;MYS;MMR;PNG;PHL;THA;VNM
Humiria,balsamifera,umiri,BRA;COL;ECU;GUF;GUY;PER;SUR;VEN
Humiria,floribunda,umiri,BRA;COL;ECU;GUF;GUY;PER;SUR;VEN
Hura,crepitans,assacù,BOL;BRA;COL;ECU;GUY;GUF;PER;SUR;VEN;USA
Hymenaea,courbaril,jatoba,BRA;GUF;SUR;GBR
Hymenolobium,spp.,angelim,BRA;GUF;SUR
Inga,spp.,inga,ARG;BRA;GUF;GUY;HND;PER;SUR
Intsia,bakeri,merbau,FJI;IDN;MDG;MYS;NCL;PNG;PHL;THA;VNM;AUS;CHN;GBR
Intsia,bijuga,merbau,FJI;IDN;MDG;MYS;NCL;PNG;PHL;THA;VNM;AUS;CHN;GBR
Intsia,palembanica,merbau;merbau,FJI;IDN;MDG;MYS;NCL;PNG;PHL;THA;VNM;AUS;CHN;GBR;FJI;IDN;MDG;MYS;NCL;PNG;PHL;THA;VNM;AUS;CHN;GBR
Intsia,retusa,merbau,FJI;IDN;MDG;MYS;NCL;PNG;PHL;THA;VNM;AUS;CHN;GBR
Irvingia,malayana,kabok,MYS;THA;GBR
Jacaranda,copaia,parapara,BRA;COL;GUF;PAN;SUR;VEN
Julbernardia,pellegriniana,awoura,CMR;GAB;FRA;DEU
Julbernardia,seretii,alumbi,
Khaya,anthotheca,,AGO;CMR;COG;CIV;GHA;UGA;FRA;DEU
Khaya,grandifoliola,,CIV;NGA;UGA;FRA;GBR
Khaya,ivorensis,acajou d’afrique,AGO;CMR;CIV;GNQ;GAB;GHA;NGA;FRA;DEU;GBR
Khaya,klainei,acajou d’afrique,AGO;CMR;CIV;GNQ;GAB;GHA;NGA;FRA;DEU;GBR
Khaya,spp.,acajou d’afrique,AGO;CMR;CIV;GNQ;GAB;GHA;NGA;FRA;DEU;GBR
Klainedoxa,buesgenii,eveuss,CMR;CAF;COG;CIV;COD;GNQ;GAB;GHA;NGA
Klainedoxa,gabonensis,eveuss,CMR;CAF;COG;CIV;COD;GNQ;GAB;GHA;NGA
Kokoona,spp.,mata ulat,
Koompassia,excelsa,tualang,
Koompassia,malaccensis,kempas,IDN;MYS;PNG;THA
Lannea,welwitschii,kumbi ,CIV;GHA;NGA
Lebrunia,bushaie,busehi,
Lecythis,grandiflora,sapucaia,
Lecythis,pisonis,sapucaia,
Letestua,durissima,congotali,COG;GAB
Licania,spp.,grigri,BRA;COL;CRI;GUY;MEX;PER;VEN
Lithocarpus,spp.,mempening,
Litsea,spp.,medang,AUS;MYS;MMR;PHL;VNM;IDN;LAO;MMR
Lonchocarpus,lanceolatus,machiche,
Lophira,alata,azobé,CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;DEU;GBR
Lophira,procera,azobé,CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;DEU;GBR
Lovoa,brownii,dibétou,CMR;CIV;GNQ;GAB;GHA;KEN;NGA;SLE;COD;UGA;FRA;GBR;USA
Lovoa,klaineana,dibétou,CMR;CIV;GNQ;GAB;GHA;KEN;NGA;SLE;COD;UGA;FRA;GBR;USA
Lovoa,spp.,dibétou,CMR;CIV;GNQ;GAB;GHA;KEN;NGA;SLE;COD;UGA;FRA;GBR;USA
Lovoa,swynnertonii,dibétou,CMR;CIV;GNQ;GAB;GHA;KEN;NGA;SLE;COD;UGA;FRA;GBR;USA
Lovoa,trichilioides,dibétou,CMR;CIV;GNQ;GAB;GHA;KEN;NGA;SLE;COD;UGA;FRA;GBR;USA
Loxopterygium,sagotii,slangehout,SUR
Lysiloma,latisiliquum,sabicu,
Machaerium,scleroxylon,palissandre de santos,BRA;BOL;GUF
Maclura,tinctoria,moral,ARG;BOL;BRA;COL;CRI;MEX;TTO
Macrolobium,dewevrei,limbali,CMR;CAF;COG;CIV;COD;GAB;GHA;LBR
Macrolobium,fragrans,kibakoko,
Madhuca,motleyana,nyatoh,IND;IDN;MYS;PNG;PHL;THA;VNM;NLD;GBR
Madhuca,spp.,bitis,
Magnolia,spp.,champak,MMR;PHL
Malacantha,superba,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Mangifera,spp.,machang,IND;IDN;MYS;MMR;PAK;PNG;PHL;SLB;THA;VNM;FRA;GBR
Manilkara,bidentata,maçaran­duba,BRA;COL;GUF;GUY;PAN;PER;SUR;VEN;GBR;USA
Manilkara,huberi,maçaran­duba,BRA;COL;GUF;GUY;PAN;PER;SUR;VEN;GBR;USA
Manilkara,mabokeensis,monghinza,
Manilkara,obovata,monghinza,
Manilkara,spp.,maçaran­duba,BRA;COL;GUF;GUY;PAN;PER;SUR;VEN;GBR;USA
Manilkara,surinamensis,maçaran­duba,BRA;COL;GUF;GUY;PAN;PER;SUR;VEN;GBR;USA
Manilkara,sylvestris,monghinza,
Mansonia,altissima,bété (mansonia),CMR;CIV;GHA;NGA
Maquira,coriacea,muiratinga,BRA
Markhamia,lutea,lusambya,
Markhamia,platycalyx,lusambya,
Marmaroxylon,racemosum,angelim rajado,BRA;GUF;GUY;SUR
Melia,azedarach,xoan,BGD;KHM;CHN;IND;IDN;NPL;PHL;THA;VNM
Mesua,ferrea,penaga ,IND;MYS;GBR
Metopium,brownei,checham,
Mezilaurus,spp.,itaùba,BRA;GUF;SUR
Micandra,spruceana,higuerilla,COL;PER;VEN
Michelia,spp.,champak,MMR;PHL
Microberlinia,bisulcata,zingana,CMR;GAB;DEU;GBR
Microberlinia,brazzavillensis,zingana,CMR;GAB;DEU;GBR
Microberlinia,spp.,zingana,CMR;GAB;DEU;GBR
Milicia,excelsa,iroko,AGO;CMR;COG;CIV;GNQ;GAB;GHA;LBR;MOZ;NGA;SLE;COD;BEL
Milicia,regia,iroko,AGO;CMR;COG;CIV;GNQ;GAB;GHA;LBR;MOZ;NGA;SLE;COD;BEL
Milicia,spp.,iroko,AGO;CMR;COG;CIV;GNQ;GAB;GHA;LBR;MOZ;NGA;SLE;COD;BEL
Millettia,laurentii,wengé,CMR;COG;GAB;COD;MOZ;TZA;DEU;FRA;GBR
Millettia,pendula,thinwin,
Millettia,stuhlmannii,wengé,CMR;COG;GAB;COD;MOZ;TZA;DEU;FRA;GBR
Mimusops,congolensis,mukulungu,AGO;CMR;CAF;COG;COD;GAB;NGA
Mimusops,djave,moabi,CMR;COG;GNQ;GAB;COD;GBR
Mimusops,heckelii,douka (makoré),CIV;GHA;GNQ;GAB
Mitragyna,ciliata,abura,AGO;CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;UGA;COD;ZMB;FRA
