sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Acineta erythroxantha,Acineta,erythroxantha,,,,,
Acineta hennisiana,Acineta,hennisiana,,,,,
Acineta hrubyana,Acineta,hrubyana,,,,,
Acineta sella-turcica,Acineta,sella-turcica,,,,,
Acineta sulcata,Acineta,sulcata,,,,,
Acineta superba,Acineta,superba,,,,,
Aciotis aristellata,Aciotis,aristellata,,,,,
Aciotis asplundii,Aciotis,asplundii,,,,,
Acis autumnalis,Acis,autumnalis,,,,,
Acis nicaeensis,Acis,nicaeensis,,,,,
Acmadenia candida,Acmadenia,candida,,,,,
Acmadenia faucitincta,Acmadenia,faucitincta,,,,,
Acmadenia laxa,Acmadenia,laxa,,,,,
Acmella leucantha,Acmella,leucantha,,,,,
Acmella paniculata,Acmella,paniculata,,,,,
Acmella uliginosa,Acmella,uliginosa,,,,,
Acmopyle pancheri,Acmopyle,pancheri,,,,,
Acmopyle sahniana,Acmopyle,sahniana,,,,,
Aconitum austrokoreense,Aconitum,austrokoreense,,,,,
Aconitum chasmanthum,Aconitum,chasmanthum,,,,,
Aconitum coreanum,Aconitum,coreanum,,,,,
Aconitum corsicum,Aconitum,corsicum,,,,,
Aconitum heterophyllum,Aconitum,heterophyllum,,,,,
Aconitum napellus,Aconitum,napellus,,,,,
Aconitum violaceum,Aconitum,violaceum,,,,,
Acorus calamus,Acorus,calamus,,,,,
Acorus gramineus,Acorus,gramineus,,,,,
Acostaea trilobata,Acostaea,trilobata,,,,,
Acridocarpus alopecurus,Acridocarpus,alopecurus,,,,,
Acridocarpus congestus,Acridocarpus,congestus,,,,,
Acridocarpus linearifolius,Acridocarpus,linearifolius,,,,,
Acridocarpus machaeropterus,Acridocarpus,machaeropterus,,,,,
Acridocarpus monodii,Acridocarpus,monodii,,,,,
Acridocarpus natalitius,Acridocarpus,natalitius,,,,,
Acridocarpus pauciglandulosus,Acridocarpus,pauciglandulosus,,,,,
Acridocarpus scheffleri,Acridocarpus,scheffleri,,,,,
Acridocarpus socotranus,Acridocarpus,socotranus,,,,,
Acridocarpus zanzibaricus,Acridocarpus,zanzibaricus,,,,,
Acriopsis carrii,Acriopsis,carrii,,,,,
Acriopsis densiflora,Acriopsis,densiflora,,,,,
Acriopsis gracilis,Acriopsis,gracilis,,,,,
Acriopsis indica,Acriopsis,indica,,,,,
Acriopsis javanica,Acriopsis,javanica,,,,,
Acriopsis ridleyi,Acriopsis,ridleyi,,,,,
Acritodon nephophilus,Acritodon,nephophilus,,,,,
Acroceras zizanioides,Acroceras,zizanioides,,,,,
Acrochaene punctata,Acrochaene,punctata,,,,,
Acrodon purpureostylus,Acrodon,purpureostylus,,,,,
Acrolophia barbata,Acrolophia,barbata,,,,,
Acrolophia bolusii,Acrolophia,bolusii,,,,,
Acrolophia cochlearis,Acrolophia,cochlearis,,,,,
Acrolophia micrantha,Acrolophia,micrantha,,,,,
Acrolophia ustulata,Acrolophia,ustulata,,,,,
Acronychia porteri,Acronychia,porteri,,,,,
Acropogon aoupiniensis,Acropogon,aoupiniensis,,,,,
Acropogon austrocaledonicus,Acropogon,austrocaledonicus,,,,,
Acropogon bosseri,Acropogon,bosseri,,,,,
Acropogon bullatus,Acropogon,bullatus,,,,,
Acropogon calcicolus,Acropogon,calcicolus,,,,,
Acropogon chalopiniae,Acropogon,chalopiniae,,,,,
Acropogon domatifer,Acropogon,domatifer,,,,,
Acropogon dzumacensis,Acropogon,dzumacensis,,,,,
Acropogon fatsioides,Acropogon,fatsioides,,,,,
Acropogon francii,Acropogon,francii,,,,,
Acropogon grandiflorus,Acropogon,grandiflorus,,,,,
Acropogon jaffrei,Acropogon,jaffrei,,,,,
Acropogon macrocarpus,Acropogon,macrocarpus,,,,,
Acropogon margaretae,Acropogon,margaretae,,,,,
Acropogon megaphyllus,Acropogon,megaphyllus,,,,,
Acropogon merytifolius,Acropogon,merytifolius,,,,,
Acropogon moratianus,Acropogon,moratianus,,,,,
Acropogon paagoumenensis,Acropogon,paagoumenensis,,,,,
Acropogon pilosus,Acropogon,pilosus,,,,,
Acropogon sageniifolius,Acropogon,sageniifolius,,,,,
Acropogon schefflerifolius,Acropogon,schefflerifolius,,,,,
Acropogon schistophilus,Acropogon,schistophilus,,,,,
Acropogon schumannianus,Acropogon,schumannianus,,,,,
Acropogon tireliae,Acropogon,tireliae,,,,,
Acropogon veillonii,Acropogon,veillonii,,,,,
Acrorchis roseola,Acrorchis,roseola,,,,,
Acrorumohra hasseltii,Acrorumohra,hasseltii,,,,,
Acrosorium papenfussii,Acrosorium,papenfussii,,,,,
Acrostichum aureum,Acrostichum,aureum,,,,,
Acrostichum danaeifolium,Acrostichum,danaeifolium,,,,,
Acrostichum speciosum,Acrostichum,speciosum,,,,,
Acsmithia vitiense,Acsmithia,vitiense,,,,,
Actinidia chrysantha,Actinidia,chrysantha,,,,,
Actinidia laevissima,Actinidia,laevissima,,,,,
Actinidia pilosula,Actinidia,pilosula,,,,,
Actinidia rudis,Actinidia,rudis,,,,,
Actinidia stellatopilosa,Actinidia,stellatopilosa,,,,,
Actinidia suberifolia,Actinidia,suberifolia,,,,,
Actinidia ulmifolia,Actinidia,ulmifolia,,,,,
Actinidia vitifolia,Actinidia,vitifolia,,,,,
Actiniopteris kornasii,Actiniopteris,kornasii,,,,,
Actinodaphne albifrons,Actinodaphne,albifrons,,,,,
Actinodaphne bourneae,Actinodaphne,bourneae,,,,,
Actinodaphne campanulata,Actinodaphne,campanulata,,,,,
Actinodaphne cuspidata,Actinodaphne,cuspidata,,,,,
Actinodaphne ellipticibacca,Actinodaphne,ellipticibacca,,,,,
Actinodaphne fragilis,Actinodaphne,fragilis,,,,,
Actinodaphne johorensis,Actinodaphne,johorensis,,,,,
Actinodaphne lanata,Actinodaphne,lanata,,,,,
Actinodaphne lawsonii,Actinodaphne,lawsonii,,,,,
Actinodaphne malaccensis,Actinodaphne,malaccensis,,,,,
Actinodaphne montana,Actinodaphne,montana,,,,,
Actinodaphne obtusa,Actinodaphne,obtusa,,,,,
Actinodaphne pruinosa,Actinodaphne,pruinosa,,,,,
Actinodaphne salicina,Actinodaphne,salicina,,,,,
Actinokentia divaricata,Actinokentia,divaricata,,,,,
Actinokentia huerlimannii,Actinokentia,huerlimannii,,,,,
Actinoscirpus grossus,Actinoscirpus,grossus,,,,,
Actinostrobus acuminatus,Actinostrobus,acuminatus,,,,,
Actinostrobus arenarius,Actinostrobus,arenarius,,,,,
Actinostrobus pyramidalis,Actinostrobus,pyramidalis,,,,,
Ada allenii,Ada,allenii,,,,,
Ada elegantula,Ada,elegantula,,,,,
Ada glumacea,Ada,glumacea,,,,,
Ada keiliana,Ada,keiliana,,,,,
Ada ocanensis,Ada,ocanensis,,,,,
Adansonia grandidieri,Adansonia,grandidieri,,,,,
Adansonia madagascariensis,Adansonia,madagascariensis,,,,,
Adansonia perrieri,Adansonia,perrieri,,,,,
Adansonia rubrostipa,Adansonia,rubrostipa,,,,,
Adansonia suarezensis,Adansonia,suarezensis,,,,,
Adansonia za,Adansonia,za,,,,,
Adelobotrys panamensis,Adelobotrys,panamensis,,,,,
Adenia dolichosiphon,Adenia,dolichosiphon,,,,,
Adenia firingalavensis,Adenia,firingalavensis,,,,,
Adenia globosa,Adenia,globosa,,,,,
Adenia keramanthus,Adenia,keramanthus,,,,,
Adenia kigogoensis,Adenia,kigogoensis,,,,,
Adenia kirkii,Adenia,kirkii,,,,,
Adenia lindiensis,Adenia,lindiensis,,,,,
Adenia olaboensis,Adenia,olaboensis,,,,,
Adenia pechuelii,Adenia,pechuelii,,,,,
Adenia racemosa,Adenia,racemosa,,,,,
Adenia schliebenii,Adenia,schliebenii,,,,,
Adenia subsessifolia,Adenia,subsessifolia,,,,,
Adenium obesum,Adenium,obesum,,,,,
Adenocarpus anisochilus,Adenocarpus,anisochilus,,,,,
Adenocarpus desertorum,Adenocarpus,desertorum,,,,,
Adenocarpus foliolosus,Adenocarpus,foliolosus,,,,,
Adenocarpus gibbsianus,Adenocarpus,gibbsianus,,,,,
Adenocarpus ombriosus,Adenocarpus,ombriosus,,,,,
Adenocarpus viscosus,Adenocarpus,viscosus,,,,,
Adenochilus nortonii,Adenochilus,nortonii,,,,,
Adenodolichos kaessneri,Adenodolichos,kaessneri,,,,,
Adenogramma rigida,Adenogramma,rigida,,,,,
Adenolobus pechuelii,Adenolobus,pechuelii,,,,,
Adenoncos major,Adenoncos,major,,,,,
Adenoncos sumatrana,Adenoncos,sumatrana,,,,,
Adenoncos virens,Adenoncos,virens,,,,,
Adenophora taquetii,Adenophora,taquetii,,,,,
Adenophorus epigaeus,Adenophorus,epigaeus,,,,,
Adenophorus periens,Adenophorus,periens,,,,,
Adenopodia rotundifolia,Adenopodia,rotundifolia,,,,,
Adenosma indianum,Adenosma,indianum,,,,,
Adenostemma caffrum,Adenostemma,caffrum,,,,,
Adenostemma harlingii,Adenostemma,harlingii,,,,,
Adenostemma zakii,Adenostemma,zakii,,,,,
Adesmia aegiceras,Adesmia,aegiceras,,,,,
Adesmia cordobensis,Adesmia,cordobensis,,,,,
Adesmia microphylla,Adesmia,microphylla,,,,,
Adesmia muricata,Adesmia,muricata,,,,,
Adesmia papposa,Adesmia,papposa,,,,,
Adesmia pungens,Adesmia,pungens,,,,,
Adesmia sanjuanensis,Adesmia,sanjuanensis,,,,,
Adesmia trifoliolata,Adesmia,trifoliolata,,,,,
Adesmia trijuga,Adesmia,trijuga,,,,,
Adiantum bellum,Adiantum,bellum,,,,,
Adiantum capillus-veneris,Adiantum,capillus-veneris,,,,,
Adiantum fengianum,Adiantum,fengianum,,,,,
Adiantum lianxianense,Adiantum,lianxianense,,,,,
Adiantum sinicum,Adiantum,sinicum,,,,,
Adina cordifolia,Adina,cordifolia,,,,,
Adina microcephala,Adina,microcephala,,,,,
Adinandra angulata,Adinandra,angulata,,,,,
Adinandra corneriana,Adinandra,corneriana,,,,,
Adinandra forbesii,Adinandra,forbesii,,,,,
Adinandra griffithii,Adinandra,griffithii,,,,,
Adinandra integerrima,Adinandra,integerrima,,,,,
Adinandra parvifolia,Adinandra,parvifolia,,,,,
Adonidia merrillii,Adonidia,merrillii,,,,,
Adonis distorta,Adonis,distorta,,,,,
Adonis vernalis,Adonis,vernalis,,,,,
Adromischus cooperi,Adromischus,cooperi,,,,,
Adrorhizon purpurascens,Adrorhizon,purpurascens,,,,,
Aechmea abbreviata,Aechmea,abbreviata,,,,,
Aechmea aculeatosepala,Aechmea,aculeatosepala,,,,,
Aechmea biflora,Aechmea,biflora,,,,,
Aechmea candida,Aechmea,candida,,,,,
