sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Acridocarpus monodii,Acridocarpus,monodii,,,sagontara pampagna,,
Acridocarpus natalitius,Acridocarpus,natalitius,,,,,
Acridocarpus pauciglandulosus,Acridocarpus,pauciglandulosus,,,,,
Acridocarpus scheffleri,Acridocarpus,scheffleri,,,,,
Acridocarpus socotranus,Acridocarpus,socotranus,,,,,
Acridocarpus zanzibaricus,Acridocarpus,zanzibaricus,,,,,
Acriopsis carrii,Acriopsis,carrii,,,,MYS,
Acriopsis densiflora,Acriopsis,densiflora,,,,MYS,
Acriopsis gracilis,Acriopsis,gracilis,,,,MYS,
Acriopsis indica,Acriopsis,indica,,,,VNM;IDN;MYS;THA,
Acriopsis javanica,Acriopsis,javanica,,,,AUS;SGP;IDN;MYS,
Acriopsis ridleyi,Acriopsis,ridleyi,,,,,
Acritodon nephophilus,Acritodon,nephophilus,,,,,
Acroceras zizanioides,Acroceras,zizanioides,,,oat grass,,
Acrochaene punctata,Acrochaene,punctata,,,,BTN;IND;MMR;THA,
Acrodon purpureostylus,Acrodon,purpureostylus,,,,,
Acrolophia barbata,Acrolophia,barbata,,,,ZAF,
Acrolophia bolusii,Acrolophia,bolusii,,,,ZAF,
Acrolophia cochlearis,Acrolophia,cochlearis,,,,ZAF,
Acrolophia micrantha,Acrolophia,micrantha,,,,ZAF,
Acrolophia ustulata,Acrolophia,ustulata,,,,ZAF,
Acronychia porteri,Acronychia,porteri,,,,,
Acropogon aoupiniensis,Acropogon,aoupiniensis,,,,,
Acropogon austrocaledonicus,Acropogon,austrocaledonicus,,,,,
Acropogon bosseri,Acropogon,bosseri,,,,,
Acropogon bullatus,Acropogon,bullatus,,,,,
Acropogon calcicolus,Acropogon,calcicolus,,,,,
Acropogon chalopiniae,Acropogon,chalopiniae,,,,,
Acropogon domatifer,Acropogon,domatifer,,,,,
Acropogon dzumacensis,Acropogon,dzumacensis,,,,,
Acropogon fatsioides,Acropogon,fatsioides,,,,,
Acropogon francii,Acropogon,francii,,,,,
Acropogon grandiflorus,Acropogon,grandiflorus,,,,,
Acropogon jaffrei,Acropogon,jaffrei,,,,,
Acropogon macrocarpus,Acropogon,macrocarpus,,,,,
Acropogon margaretae,Acropogon,margaretae,,,,,
Acropogon megaphyllus,Acropogon,megaphyllus,,,,,
Acropogon merytifolius,Acropogon,merytifolius,,,,,
Acropogon moratianus,Acropogon,moratianus,,,,,
Acropogon paagoumenensis,Acropogon,paagoumenensis,,,,,
Acropogon pilosus,Acropogon,pilosus,,,,,
Acropogon sageniifolius,Acropogon,sageniifolius,,,,,
Acropogon schefflerifolius,Acropogon,schefflerifolius,,,,,
Acropogon schistophilus,Acropogon,schistophilus,,,,,
Acropogon schumannianus,Acropogon,schumannianus,,,,,
Acropogon tireliae,Acropogon,tireliae,,,,,
Acropogon veillonii,Acropogon,veillonii,,,,,
Acrorchis roseola,Acrorchis,roseola,,,,CRI;PAN,
Acrorumohra hasseltii,Acrorumohra,hasseltii,,,,,
Acrosorium papenfussii,Acrosorium,papenfussii,,,,,
Acrostichum aureum,Acrostichum,aureum,,,golden leather fern;leather fern,,
Acrostichum danaeifolium,Acrostichum,danaeifolium,,,,,
Acrostichum speciosum,Acrostichum,speciosum,,,,,
Acsmithia vitiense,Acsmithia,vitiense,,,,,
Actinidia chrysantha,Actinidia,chrysantha,,,,,
Actinidia laevissima,Actinidia,laevissima,,,,,
Actinidia pilosula,Actinidia,pilosula,,,,,
Actinidia rudis,Actinidia,rudis,,,,,
Actinidia stellatopilosa,Actinidia,stellatopilosa,,,,,
Actinidia suberifolia,Actinidia,suberifolia,,,,,
Actinidia ulmifolia,Actinidia,ulmifolia,,,,,
Actinidia vitifolia,Actinidia,vitifolia,,,,,
Actiniopteris kornasii,Actiniopteris,kornasii,,,,,
Actinodaphne albifrons,Actinodaphne,albifrons,,,,,
Actinodaphne bourneae,Actinodaphne,bourneae,,,,,
Actinodaphne campanulata,Actinodaphne,campanulata,,,,,
Actinodaphne cuspidata,Actinodaphne,cuspidata,,,,,
Actinodaphne ellipticibacca,Actinodaphne,ellipticibacca,,,,,
Actinodaphne fragilis,Actinodaphne,fragilis,,,,,
Actinodaphne johorensis,Actinodaphne,johorensis,,,,,
Actinodaphne lanata,Actinodaphne,lanata,,,,,
Actinodaphne lawsonii,Actinodaphne,lawsonii,,,,,
Actinodaphne malaccensis,Actinodaphne,malaccensis,,,,,
Actinodaphne montana,Actinodaphne,montana,,,,,
Actinodaphne obtusa,Actinodaphne,obtusa,,,,,
Actinodaphne pruinosa,Actinodaphne,pruinosa,,,,,
Actinodaphne salicina,Actinodaphne,salicina,,,,,
