sc_name,genus,species,family,common_names,regions,cites_flag,iucn_flag,wwf_high_risk_flag
Acianthera fenestrata,Acianthera,fenestrata,,,,1,0,0
Acianthera fockei,Acianthera,fockei,,,,1,0,0
Acianthera geminicaulina,Acianthera,geminicaulina,,,,1,0,0
Acianthera hondurensis,Acianthera,hondurensis,,,,0,0,0
Acianthera johannensis,Acianthera,johannensis,,,,1,0,0
Acianthera leptotifolia,Acianthera,leptotifolia,,,,1,0,0
Acianthera limae,Acianthera,limae,,,,1,0,0
Acianthera malachantha,Acianthera,malachantha,,,,0,1,0
Acianthera melanochthoda,Acianthera,melanochthoda,,,,1,0,0
Acianthera modestissima,Acianthera,modestissima,,,,1,0,0
Acianthera oscitans,Acianthera,oscitans,,,,1,0,0
Acianthera pacayana,Acianthera,pacayana,,,,1,0,0
Acianthera pectinata,Acianthera,pectinata,,,,1,0,0
Acianthera platystachys,Acianthera,platystachys,,,,1,0,0
Acianthera prolifera,Acianthera,prolifera,,,,1,0,0
Acianthera recurva,Acianthera,recurva,,,,1,0,0
Acianthera rinkei,Acianthera,rinkei,,,,1,0,0
Acianthera saundersiana,Acianthera,saundersiana,,,,0,0,0
Acianthera saurocephala,Acianthera,saurocephala,,,,1,0,0
Acianthera scalpricaulis,Acianthera,scalpricaulis,,,,1,0,0
Acianthera strupifolia,Acianthera,strupifolia,,,,1,0,0
Acianthera tokachii,Acianthera,tokachii,,,,0,1,0
Acianthera variegata,Acianthera,variegata,,,,0,1,0
Acianthera verecunda,Acianthera,verecunda,,,,1,0,0
Acianthera violacea,Acianthera,violacea,,,,0,0,0
Acianthera zumbae,Acianthera,zumbae,,,,1,0,0
Acianthus aegeridantennatus,Acianthus,aegeridantennatus,,,NCL,1,0,0
Acianthus amplexicaulis,Acianthus,amplexicaulis,,,AUS,1,0,0
Acianthus apprimus,Acianthus,apprimus,,,AUS,1,0,0
Acianthus atepalus,Acianthus,atepalus,,,NCL,1,0,0
Acianthus bracteatus,Acianthus,bracteatus,,,NCL,1,0,0
Acianthus confusus,Acianthus,confusus,,,NCL,1,0,0
