,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
34380,34381,Acacia alpina,Leguminosae,Acacia,alpina,,alpine wattle,,,,0.0
37948,37949,Acacia amazonica,Leguminosae,Acacia,amazonica,,,,,,0.0
28962,28963,Acacia anegadensis,Leguminosae,Acacia,anegadensis,,pokemeboy,,,,1.0
37665,37666,Acacia aneura,Leguminosae,Acacia,aneura,,mulga,,,,0.0
22595,22596,Acacia ankokib,Leguminosae,Acacia,ankokib,,han ko kib;xankokib;ankokib,,,,1.0
34413,34414,Acacia aphylla,Leguminosae,Acacia,aphylla,,leafless rock wattle,,,,1.0
34409,34410,Acacia aprica,Leguminosae,Acacia,aprica,,blunt wattle,,,,1.0
34566,34567,Acacia argyraea,Leguminosae,Acacia,argyraea,,,,,,0.0
34411,34412,Acacia asepala,Leguminosae,Acacia,asepala,,,,,,1.0
37554,37555,Acacia ataxiphylla,Leguminosae,Acacia,ataxiphylla,,large-fruited tammin wattle,,,,1.0
26090,26091,Acacia aulacocarpa,Leguminosae,Acacia,aulacocarpa,,,,,,0.0
34393,34394,Acacia auratiflora,Leguminosae,Acacia,auratiflora,,orange-flowered wattle,,,,1.0
0,1,Acacia auriculiformis,Leguminosae,Acacia,auriculiformis,,ear-leaf acacia,,,0.0,0.0
38038,38039,Acacia ausfeldii,Leguminosae,Acacia,ausfeldii,,whipstick cinnamon wattle;ausfeld's wattle,,,,1.0
37357,37358,Acacia basedowii,Leguminosae,Acacia,basedowii,,basedow's wattle,,,,0.0
20034,20035,Acacia belairioides,Leguminosae,Acacia,belairioides,,,,,,1.0
34492,34493,Acacia betchei,Leguminosae,Acacia,betchei,,red-tip wattle,,,,0.0
38223,38224,Acacia bifaria,Leguminosae,Acacia,bifaria,,,,,,1.0
37963,37964,Acacia brachypoda,Leguminosae,Acacia,brachypoda,,western wheatbelt wattle,,,,1.0
21229,21230,Acacia bucheri,Leguminosae,Acacia,bucheri,,,,,,1.0
37790,37791,Acacia bussei,Leguminosae,Acacia,bussei,,galol,,,,0.0
37236,37237,Acacia caesia,Leguminosae,Acacia,caesia,,,,,,0.0
19602,19603,Acacia campbellii,Leguminosae,Acacia,campbellii,,,,,,1.0
22604,22605,Acacia caraniana,Leguminosae,Acacia,caraniana,,calakuyaal,,,,0.0
34500,34501,Acacia castanostegia,Leguminosae,Acacia,castanostegia,,,,,,0.0
23214,23215,Acacia cernua,Leguminosae,Acacia,cernua,,,,,,0.0
18002,18003,Acacia chiapensis,Leguminosae,Acacia,chiapensis,,,,,,0.0
37244,37245,Acacia chrysotricha,Leguminosae,Acacia,chrysotricha,,bellinger river wattle;newry golden wattle,,,,1.0
22528,22529,Acacia condyloclada,Leguminosae,Acacia,condyloclada,,calakuyaal;adad geri;hobobloh;cadaad geri,,,,0.0
34417,34418,Acacia confluens,Leguminosae,Acacia,confluens,,arkaroola wattle;wyrilda,,,,0.0
1,2,Acacia crassicarpa,Leguminosae,Acacia,crassicarpa,,,,,0.0,1.0
37284,37285,Acacia crassiuscula,Leguminosae,Acacia,crassiuscula,,,,,,0.0
34404,34405,Acacia cyperophylla,Leguminosae,Acacia,cyperophylla,,creekline miniritchi;omeara's red mulga;red mulga;weeping red mulga,,,,0.0
20035,20036,Acacia daemon,Leguminosae,Acacia,daemon,,,,,,1.0
2,3,Acacia decurrens,Leguminosae,Acacia,decurrens,,,,,0.0,
37523,37524,Acacia dempsteri,Leguminosae,Acacia,dempsteri,,,,,,0.0
23215,23216,Acacia densispina,Leguminosae,Acacia,densispina,,fulaay,,,,1.0
22522,22523,Acacia dolichostachya,Leguminosae,Acacia,dolichostachya,,,,,,0.0
37243,37244,Acacia donaldii,Leguminosae,Acacia,donaldii,,,,,,1.0
