,id,genus,species,sub_species,main_common_name,other_common_names,status
24462,83597402,Flemingia,bhutanica,,,,DD
24463,177090,Carex,myosurus,,,,LC
24464,177091,Fuirena,umbellata,,Yefen,Yefen,LC
24465,83597426,Ceropegia,bhutanica,,,,EN
24466,177092,Eriocaulon,nepalense,,,,LC
24467,177093,Cyperus,distans,,Slender Cyperus,Slender Cyperus,LC
24468,177094,Sacciolepis,myosuroides,,,,LC
24469,177096,Lobelia,zeylanica,,,,LC
24470,177097,Hydrobryopsis,sessilis,,,,LC
24471,83597459,Ceropegia,dorjei,,,,CR
24472,177101,Nesaea,brevipes,,,,LC
24473,177104,Eriocaulon,talbotii,,,,LC
24474,83597506,Ceropegia,ludlowii,,,,DD
24475,97229006,Emilia,abyssinica;macroglossa,,,,LC
24476,48994521,Nepenthes,monticola,,,,LC
24477,48994529,Nepenthes,naga,,,,VU
24478,177115,Ischaemum,muticum,,,,LC
24479,19241191,Physalis,angulata,,Angular Winter-cherry,balloon-cherry;cut-leaf ground-cherry;Xpak' ch'um;Tomate de Hoja;Tomatillo;Tomate de Cáscara;Pchfux-las-dan;Tomate de Milpa;Angular Winter-cherry;coqueret;Tomatillo Chino;Tomatito;hogweed;gooseberry;coqueret anguleux;kantig lyktört;Tomate;ku zhi,LC
24480,83597550,Ceropegia,ugeni,,,,DD
24481,177117,Limnophila,repens,,,,LC
24482,177118,Murdannia,spirata,,,,LC
24483,177120,Rotala,mexicana,,,,LC
24484,177121,Eriocaulon,lanceolatum,,,,LC
24485,177124,Najas,guadalupensis,,,,LC
24486,48994593,Nepenthes,nigra,,,,LC
24487,177128,Polygonum,plebeium,,,,LC
24488,177131,Utricularia,lazulina,,,,LC
24489,177132,Panicum,sumatrense,,Barefoot Panicgrass,Barefoot Panicgrass,LC
24490,177133,Najas,malesiana,,,,LC
24491,177135,Rotala,macrandra,,,,LC
24492,83597646,Gentiana,wangchukii,,,,LC
24493,80452022,Salacia,arenicola,,,,VU
24494,177173,Cyperus,procerus,,,Cói Qui,LC
24495,64264082,Arctanthemum,arcticum,,,,LC
24496,62495432,Polygala,limae,,,,DD
24497,177218,Rotala,malampuzhensis,,,,LC
24498,177219,Kyllinga,nemoralis,,White Water Sedge,Kouthum;Nirvishi;Velutta Nirvasi;White Kyllinga;Velutta Nirbasi;White-Flowered Kyllinga;Svetanirvisa;Whitehead Spike Sedge;White Water Sedge;Gandala,LC
24499,64264102,Arethusa,bulbosa,,,,LC
24500,177224,Eriocaulon,truncatum,,Short Pipe-Wort,Fei Lu Bin Gu Jing Cao;Dùi Trống Cắt Ngang;Short Pipe-Wort,LC
24501,177226,Hydrocotyle,sibthorpioides,,,,LC
24502,177228,Cyanotis,cucullata,,,,LC
24503,177234,Lagenandra,toxicaria,,,Maravara Tsjembu;Andavazha;Vatsanabhi,LC
24504,48995172,Nepenthes,palawanensis,,,,EN
24505,62495602,Didymosalpinx,callianthus,,,,EN
24506,79928204,Tamarix,canariensis,,Canary Island tamarisk,Tarajal;Canary Island tamarisk,LC
24507,62495645,Oxyanthus,biflorus,,,,EN
24508,64264135,Asclepias,exaltata,,,,LC
24509,62495685,Oxyanthus,sp.,,,,EN
24510,62495737,Pavetta,fascifolia,,,,DD
24511,88579072,Arum,cylindraceum,,,,VU
24512,64264155,Asclepias,incarnata,,Swamp Milkweed,Swamp Milkweed;Pleurisy Root,LC
24513,62495784,Pavetta,lindina,,,,EN
24514,110074982,Keetia,bakossiorum,,,,CR
24515,96443671,Fraxinus,anomala,,,,LC
24516,96443722,Fraxinus,berlandieriana,,,,LC
24517,96443765,Fraxinus,cuspidata,,,,LC
24518,83467644,Asplenium,aegaeum,,Aegean Spleenwort,Aegean Spleenwort,VU
24519,68001185,Scutia,spicata,,Thorn Shrub,Thorn Shrub;Spiny Bush,LC
24520,68001190,Scutia,spicata;pauciflora,,Thorn Shrub,Thorn Shrub,LC
24521,110075322,Pavetta,laxa,,,,CR
24522,96443856,Fraxinus,dipetala,,,,LC
24523,110075374,Pavetta,longistyla,,,,CR
24524,64264258,Bacopa,rotundifolia,,,,LC
24525,96443946,Fraxinus,greggii,,,,LC
24526,70360657,Barleria,superata,,,,EN
24527,177407,Fimbristylis,cinnamometorum,,,,LC
24528,98991041,Mezoneuron,baudouinii,,,,DD
24529,64264306,Bartonia,paniculata,,,,LC
24530,83468031,Asplenium,anceps,,Double Spleenwort,Double Spleenwort,EN
24531,110075661,Psychotria,microthyrsa,,,,CR
24532,64264310,Bidens,beckii,,,,LC
24533,68001584,Thelypteris,tetragona,,Freetip Maiden Fern,Free-tip Star-hair Fern;Freetip Maiden Fern,LC
24534,68001588,Thelypteris,tetragona,aberrans,,,LC
24535,64264329,Bidens,eatonii,,,,VU
24536,86089590,Sorbus,adeana,,,Ade-Mehlbeere,EN
24537,64264333,Bidens,frondosa,,,,LC
24538,83468188,Asplenium,aureum,,Golden Rustyback Fern,Golden Rustyback Fern,LC
24539,64264338,Bidens,hyperborea,,,,LC
24540,86089642,Sorbus,albensis,,,,EN
24541,102794629,Artemisia,argentea,,Madeira wormwood,Madeira wormwood,VU
24542,64593902,Cynorkis,lindleyana,,,,LC
24543,64593913,Cynorkis,gymnochiloides,,,,EN
24544,64593919,Abrahamia,grandidieri,,,Hazombasy;Sohihy,LC
24545,20946950,Stylochaeton,pilosus,,,,EN
24546,64593934,Angraecum,setipes,,,,EN
24547,64593935,Cynorkis,stolonifera,,,,EN
24548,86089742,Sorbus,algoviensis,,,,CR
24549,64593943,Abrahamia,sericea,,,Tsimalazo,LC
24550,64593961,Barleria,kitchingii,,,Rono,LC
24551,64593962,Chassalia,catatii,,,,LC
24552,86089783,Sorbus,alnifrons,,,,EN
24553,64593978,Cynorkis,perrieri,,,,EN
24554,64593979,Cryptopus,brachiatus,,,,EN
24555,64593981,Disperis,majungensis,,,,EN
24556,64593993,Mendoncia,flagellaris,,,,LC
24557,64593995,Gastrorchis,tuberculosa,,,,EN
24558,64594010,Cynorkis,aphylla,,,,EN
24559,64594011,Disperis,masoalensis,,,,EN
24560,64594013,Tylostigma,nigrescens,,,,EN
24561,64594014,Disperis,erucifera,,,,EN
24562,64594016,Disperis,lanceolata,,,,EN
24563,86089837,Sorbus,amici-petri,,,,EN
24564,64594030,Chassalia,eurybotrya,,,,EN
24565,64594037,Eulophia,reticulata,,,,LC
24566,62496908,Striga,diversifolia,,,,DD
24567,83468428,Asplenium,balearicum,,Balearean Spleenwort,Asplenio delle Baleari;Asplénium des Baléares;Balearean Spleenwort;Doradille des Baléares,NT
24568,70099091,Mundulea,obovata,,,Fanamo,LC
24569,64594070,Gnidia,daphnifolia,,,,LC
24570,64594080,Tylostigma,hildebrandtii,,,,EN
24571,86089889,Sorbus,barabitsii,,,,CR
24572,83599530,Gentianella,griersonii,,,,LC
24573,64594091,Eulophia,ramosa,,,,LC
24574,64594092,Mendoncia,cowanii,,,Tsiamanimanimpiso;Tsipolitrala;Vahindavenona;Vahiteloravina;Vahy boloina;Vahimpinaomby;Vahivoraka;Vahipisaka,LC
24575,64594095,Ophrestia,lyallii,,,sanatridambo;vahy,LC
24576,64594097,Angraecum,sambiranoense,,,,EN
24577,64594118,Chassalia,bojeri,,,,LC
24578,64594123,Cynorkis,tenerrima,,,,EN
24579,64594127,Crotalaria,laevigata,,,Hazomarakandra;Engitsy;Hengitrala;Saraingitra,LC
24580,64594128,Chassalia,princei,,,,LC
24581,64594131,Impatiens,baronii,,,Tambonoana,LC
24582,64594144,Cynorkis,zaratananae,,,,EN
24583,64594147,Cynorkis,gibbosa,,,,LC
24584,64594151,Cynorkis,sambiranoensis,,,,EN
24585,96444707,Fraxinus,uhdei,,,,LC
24586,98991168,Mezoneuron,montrouzieri,,,,LC
24587,96444728,Fraxinus,velutina,,,,LC
24588,96444738,Fraxinus,xanthoxyloides,,Afghan Ash,Afghan Ash,LC
24589,64264431,Boehmeria,cylindrica,,,,LC
24590,83724962,Crataegus,karadaghensis,,,,DD
24591,64264444,Boisduvalia,glabella,,,,LC
24592,86090189,Sorbus,barrandienica,,,,CR
24593,62497268,Viscum,littorum,,,,NT
24594,58958362,Paepalanthus,stuebelianus,,,,LC
24595,68002342,Indigofera,peltieri,,,,EN
24596,62497329,Stylochaeton,tortispathus,,,,VU
24597,68002366,Solanum,humblotii,,,Farafandoha;Hendramena,NT
24598,68002371,Crotalaria,coursii,,,Ambihotra;Sarin'ambatry;Voapiky;Fanamo,NT
24599,68002377,Heliotropium,perrieri,,,,EN
24600,68002382,Pyranthus,ambatoana,,,,EN
24601,68002383,Hymenodictyon,perrieri,,,Lohavato,LC
24602,68002391,Foetidia,dracaenoides,,,,EN
24603,110076509,Calycobolus,micranthus,,,,VU
24604,68002420,Rhopalocarpus,coriaceus,,,Tavia;Mantanditra;Hazondandy,LC
24605,64264486,Bolboschoenus,novae-angliae,,Saltmarsh Bulrush,Saltmarsh Bulrush;New England Bulrush,DD
24606,68002446,Operculicarya,decaryi,,,Zabihy Daro;Zabia;Jiabiha;Zoby;Zaby,LC
24607,68002453,Micronychia,macrophylla,,,Varikanda;Sefana;Sehana Be Ravina;Betamba,LC
24608,68002457,Ophrestia,humbertii,,,,EN
24609,91071133,Sorbus,seyboldiana,,,Seybold Mehlbeere,CR
24610,68002473,Mundulea,anceps,,,Sarifamamo,EN
24611,68002474,Indigofera,itremoensis,,,,EN
24612,68002489,Cynometra,capuronii,,,Mampay,EN
24613,68002494,Exacum,conglomeratum,,,Taolanamalona;Kingatsanondry;Tsingatsanondry;Maninombe;Felamanga,CR
24614,68002506,Aeschynomene,laxiflora,,,,EN
24615,68002536,Gladiolus,horombensis,,,,NT
24616,68002537,Pyranthus,monantha,,,Fanamo,EN
24617,68002543,Gladiolus,bojeri,,,Kindaindaivola;Manolodravy;Fandrehana,NT
24618,68002546,Cadia,pubescens,,,,EN
24619,68002549,Operculicarya,borealis,,,,EN
24620,68002550,Crotalaria,xanthoclada,,,,NT
24621,68002552,Eriosema,betsileense,,,,EN
24622,68002557,Tephrosia,subaphylla,,,,EN
24623,68002558,Leptodesmia,perrieri,,,,EN
24624,68002560,Aristea,kitchingii,,,,NT
24625,68002563,Crotalaria,decaryana,,,Saripeha;Haringanala;Hanginola,NT
24626,68002570,Phyllanthus,ivohibeus,,,,LC
24627,68002571,Buxus,itremoensis,,,,EN
24628,68002573,Dolichos,minutiflorus,,,,EN
24629,68002574,Leptodesmia,bojeriana,,,,EN
24630,68002575,Exacum,gracile,,,,EN
24631,68002589,Tephrosia,retamoides,,,Kifafa;Kofafa;Kifafantany,EN
24632,68002593,Crotalaria,poissonii,,,,EN
24633,68002601,Indigofera,bemarahaensis,,,,EN
24634,68002612,Podorungia,lantzei,,,Mamoahely,EN
24635,68002614,Chadsia,longidentata,,,,EN
24636,68002618,Crossandra,quadridentata,,,,EN
24637,68002621,Pearsonia,madagascariensis,,,,EN
24638,68002630,Mucuna,manongarivensis,,,Vahisariba;Vahampimikry,EN
24639,68002645,Podorungia,serotina,,,,EN
24640,68002647,Crossandra,pilosa,,,,EN
24641,68002675,Crossandra,nobilis,,,,EN
24642,68002689,Impatiens,anovensis,,,,EN
24643,68002690,Benthamia,glaberrima,,,,NT
24644,68002696,Crossandra,isaloensis,,,,EN
24645,68002708,Foetidia,delphinensis,,,Rangomafitry,EN
24646,68002712,Impatiens,andringitrensis,,,,EN
24647,68002718,Abrus,sambiranensis,,,,EN
24648,68002720,Crossandra,humbertii,,,,EN
24649,68002721,Begonia,erminea,,,,EN
24650,68002726,Plectranthus,vinaceus,,,,LC
24651,68002727,Crotalaria,cornu-ammonis,,,Hianala,NT
24652,68002737,Tephrosia,phylloxylon,,,,EN
24653,86090679,Sorbus,bosniaca,,,,EN
