,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
193,Leguminosae,Acacia,mitodes,,,,,,0.0
194,Leguminosae,Acacia,moggii,,,,,,0.0
195,Leguminosae,Acacia,montana,,mallee wattle,,,,0.0
196,Leguminosae,Acacia,montis-usti,,brandbergdoring;brandberg acacia,,,,0.0
197,Leguminosae,Acacia,najdensis,,sant,,,,0.0
198,Leguminosae,Acacia,negrii,,,,,,1.0
199,Leguminosae,Acacia,neurophylla,,,,,,0.0
200,Leguminosae,Acacia,nilotica,,sunt;qarad,,,0.0,0.0
201,Leguminosae,Acacia,ochracea,,cadaad geri,,,,0.0
202,Leguminosae,Acacia,octonervia,,,,,,1.0
203,Leguminosae,Acacia,origena,,,,,,0.0
204,Leguminosae,Acacia,pachycarpa,,,,,,0.0
205,Leguminosae,Acacia,pachyceras,,sant,,,,0.0
206,Leguminosae,Acacia,pachyphylla,,,,,,0.0
207,Leguminosae,Acacia,pendula,,myall;boree;silver-leaf boree;balaar;true myall;nilyah;weeping myall,,,,0.0
208,Leguminosae,Acacia,pennivenia,,,,,,1.0
209,Leguminosae,Acacia,permixta,,slapdoring;hairy acacia,,,,0.0
210,Leguminosae,Acacia,petraea,,lancewood,,,,0.0
211,Leguminosae,Acacia,phasmoides,,phantom wattle,,,,1.0
212,Leguminosae,Acacia,phlebocarpa,,table-top wattle,,,,0.0
213,Leguminosae,Acacia,phlebopetala,,,,,,0.0
214,Leguminosae,Acacia,piauhiensis,,rama-de-boi,,,,0.0
215,Leguminosae,Acacia,pluricapitata,,,,,,0.0
216,Leguminosae,Acacia,prasinata,,,,,,1.0
217,Leguminosae,Acacia,preissiana,,,,,,0.0
218,Leguminosae,Acacia,pseudonigrescens,,,,,,1.0
219,Leguminosae,Acacia,pubescens,,,,,0.0,
220,Leguminosae,Acacia,purpurea,,nacáueá,,,,1.0
221,Leguminosae,Acacia,pygmaea,,dwarf rock wattle,,,,1.0
222,Leguminosae,Acacia,quornensis,,quorn wattle,,,,0.0
223,Leguminosae,Acacia,repanda,,,,,,1.0
224,Leguminosae,Acacia,resinicostata,,,,,,0.0
225,Leguminosae,Acacia,richii,,loaloa;lolo;nggumu;qumu;tumbonu,,,,0.0
226,Leguminosae,Acacia,riparia,,,,,,0.0
227,Leguminosae,Acacia,robynsiana,,whip stick acacia;sweepstokdoring,,,,0.0
228,Leguminosae,Acacia,roigii,,,,,,1.0
229,Leguminosae,Acacia,sarcophylla,,,,,,0.0
230,Leguminosae,Acacia,schlechteri,,,,,,1.0
231,Leguminosae,Acacia,semirigida,,stony ridge wattle,,,,0.0
232,Leguminosae,Acacia,sericata,,,,,,0.0
233,Leguminosae,Acacia,sericoflora,,,,,,0.0
234,Leguminosae,Acacia,shirleyi,,lancewood,,,,0.0
235,Leguminosae,Acacia,somalensis,,hinni;heni;cadaad hinni,,,,1.0
236,Leguminosae,Acacia,torrei,,,,,,0.0
237,Leguminosae,Acacia,trineura,,three-nerved wattle;green wattle,,,,0.0
238,Leguminosae,Acacia,ulicifolia,,prickly moses;juniper wattle,,,,0.0
239,Leguminosae,Acacia,venosa,,,,,,1.0
240,Leguminosae,Acacia,villosa,,,,,,1.0
241,Leguminosae,Acacia,vincentii,,,,,,0.0
242,Leguminosae,Acacia,viscidula,,sticky wattle,,,,0.0
243,Leguminosae,Acacia,visco,,viscote;visote;arca;visco,,,,0.0
244,Leguminosae,Acacia,zapatensis,,,,,,1.0
245,,Acaena,exigua,,liliwai,,,,1.0
246,,Acalypha,andina,,,,,,1.0
247,,Acalypha,cupricola,,,,,,1.0
248,,Acalypha,dictyoneura,,,,,,1.0
249,,Acalypha,dikuluwensis,,,,,,1.0
250,,Acalypha,ecuadorica,,,,,,1.0
251,,Acalypha,eggersii,,,,,,1.0
252,,Acalypha,grisebachiana,,,,,,0.0
253,,Acalypha,guineensis,,,,,,1.0
254,,Acalypha,hontauyuensis,,,,,,1.0
255,,Acalypha,lepinei,,,,,,1.0
256,,Acalypha,parvula,,,,,,0.0
257,,Acalypha,raivavensis,,,,,,1.0
258,,Acalypha,rubrinervis,,stringwood,,,,1.0
259,,Acalypha,schimpffii,,,,,,1.0
260,,Acalypha,suirenbiensis,,,,,,1.0
261,,Acalypha,tunguraguae,,,,,,1.0
262,,Acalypha,wilderi,,,,,,1.0
