,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
711,711,711,9205.10.00,1,Brass-wind instruments,,[ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ Brass-wind instruments ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;brass;wind instrument;fairground organ;street organ,
712,712,712,9205.10.00.40,2,Valued not over $10 each,,[ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ Brass-wind instruments ] && [ Valued not over $10 each ],value;keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;brass;wind instrument;fairground organ;street organ,
713,713,713,9205.10.00.80,2,Valued over $10 each,,[ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ Brass-wind instruments ] && [ Valued over $10 each ],value;keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;brass;wind instrument;fairground organ;street organ,
714,714,714,9205.90,1,Other,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;fairground organ;street organ,brass;wind instrument
715,715,715,,2,Keyboard pipe organs; harmoniums && similar keyboard instruments with free metal reeds,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Keyboard pipe organs; harmoniums && similar keyboard instruments with free metal reeds ],keyboard pipe;accordion;trumpet;wind musical;keyboard instrument;clarinet;bagpipe;free metal;example;musical instrument;pipe organ;mechanical street;similar keyboard;metal reed;harmonium;fairground organ;street organ,brass;wind instrument
716,716,716,9205.90.12.00,3,Keyboard pipe organs,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Keyboard pipe organs; harmoniums && similar keyboard instruments with free metal reeds ] && [ Keyboard pipe organs ],keyboard pipe;accordion;trumpet;wind musical;keyboard instrument;clarinet;bagpipe;free metal;example;musical instrument;pipe organ;mechanical street;similar keyboard;metal reed;harmonium;fairground organ;street organ,brass;wind instrument
717,717,717,9205.90.14.00,3,Other,,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Keyboard pipe organs; harmoniums && similar keyboard instruments with free metal reeds ] && [ ![ Keyboard pipe organs ] ] ],keyboard pipe;accordion;trumpet;wind musical;keyboard instrument;clarinet;bagpipe;free metal;example;musical instrument;pipe organ;mechanical street;similar keyboard;metal reed;harmonium;fairground organ;street organ,brass;keyboard pipe;pipe organ;wind instrument
718,718,718,,2,Accordions && similar instruments; mouth organs,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Accordions && similar instruments; mouth organs ],keyboard pipe;accordion;trumpet;wind musical;similar instrument;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;accordions;fairground organ;mouth organ;street organ,brass;wind instrument
719,719,719,,3,Accordions && similar instruments,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Accordions && similar instruments; mouth organs ] && [ Accordions && similar instruments ],keyboard pipe;accordion;trumpet;wind musical;similar instrument;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;accordions;fairground organ;mouth organ;street organ,brass;wind instrument
720,720,720,9205.90.15.00,4,Piano accordions,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Accordions && similar instruments; mouth organs ] && [ Accordions && similar instruments ] && [ Piano accordions ],keyboard pipe;accordion;trumpet;wind musical;similar instrument;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;accordions;piano accordion;fairground organ;mouth organ;street organ,brass;wind instrument
721,721,721,9205.90.18.00,4,Other,,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Accordions && similar instruments; mouth organs ] && [ Accordions && similar instruments ] && [ ![ Piano accordions ] ] ],keyboard pipe;accordion;trumpet;wind musical;similar instrument;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;accordions;fairground organ;mouth organ;street organ,piano accordion;brass;wind instrument
722,722,722,9205.90.19.00,3,Mouth organs,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Accordions && similar instruments; mouth organs ] && [ Mouth organs ],keyboard pipe;accordion;trumpet;wind musical;similar instrument;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;accordions;fairground organ;mouth organ;street organ,brass;wind instrument
723,723,723,,2,Woodwind instruments,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;fairground organ;street organ,brass;wind instrument
724,724,724,9205.90.20.00,3,Bagpipes,,[ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ] && [ Bagpipes ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;fairground organ;street organ,brass;wind instrument
725,725,725,9205.90.40,3,Other,,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ] && [ ![ Bagpipes ] ] ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;fairground organ;street organ,brass;bagpipes;wind instrument
726,726,726,9205.90.40.20,4,Clarinets,,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ] && [ ![ Bagpipes ] ] ] && [ Clarinets ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;fairground organ;street organ,brass;bagpipes;wind instrument
727,727,727,9205.90.40.40,4,Saxophones,,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ] && [ ![ Bagpipes ] ] ] && [ Saxophones ],saxophone;keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;fairground organ;street organ,brass;bagpipes;wind instrument
728,728,728,9205.90.40.60,4,Flutes && piccolos (except bamboo),,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ] && [ ![ Bagpipes ] ] ] && [ Flutes && piccolos (except bamboo) ],bamboo;keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;flute;fairground organ;street organ,brass;bagpipes;wind instrument
729,729,729,9205.90.40.80,4,Other,,[ [ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ Woodwind instruments ] && [ ![ Bagpipes ] ] ] && [ ![ Flutes && piccolos (except bamboo) ] && ![ Saxophones ] && ![ Clarinets ] ] ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;woodwind instrument;fairground organ;street organ,bamboo;bagpipes;brass;flute;wind instrument;saxophones;clarinets
730,730,730,9205.90.60.00,2,Other,,[ [ [ Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs ] && [ ![ Brass-wind instruments ] ] ] && [ ![ Woodwind instruments ] && ![ Accordions && similar instruments; mouth organs ] && ![ Keyboard pipe organs; harmoniums && similar keyboard instruments with free metal reeds ] ] ],keyboard pipe;accordion;trumpet;wind musical;clarinet;bagpipe;example;musical instrument;pipe organ;mechanical street;fairground organ;street organ,keyboard pipe;keyboard instrument;similar instrument;free metal;pipe organ;similar keyboard;brass;woodwind instrument;wind instrument;metal reed;harmonium;accordions;mouth organ
731,731,731,9206.00,0,Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas),,[ Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas) ],xylophone;castanet;cymbal;example;musical instrument;drum;percussion musical;maracas,
732,732,732,9206.00.20.00,1,Drums,,[ Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas) ] && [ Drums ],xylophone;castanet;cymbal;example;musical instrument;drum;percussion musical;maracas,
733,733,733,9206.00.40.00,1,Cymbals,,[ Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas) ] && [ Cymbals ],xylophone;castanet;cymbal;example;musical instrument;drum;percussion musical;maracas,
734,734,734,9206.00.60.00,1,Sets of tuned bells known as chimes &&  peals or carillons,,[ Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas) ] && [ Sets of tuned bells known as chimes &&  peals or carillons ],xylophone;castanet;cymbal;tune bell;example;musical instrument;peal;chime;carillon;drum;percussion musical;maracas,
735,735,735,9206.00.80.00,1,Other,,[ [ Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas) ] && [ ![ Sets of tuned bells known as chimes &&  peals or carillons ] && ![ Cymbals ] && ![ Drums ] ] ],xylophone;castanet;cymbal;example;musical instrument;drum;percussion musical;maracas,tune bell;peal;chime;carillon;drums;cymbals
736,736,736,9207,0,Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions),,[ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ],organ;guitar;accordion;example;musical instrument;produce;amplify;sound,
737,737,737,9207.10.00,1,Keyboard instruments &&  other than accordions,,[ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ],organ;guitar;accordion;keyboard instrument;example;musical instrument;produce;amplify;sound,
738,738,738,,2,Music synthesizers,,[ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ Music synthesizers ],organ;guitar;accordion;keyboard instrument;music synthesizer;example;musical instrument;produce;amplify;sound,
739,739,739,9207.10.00.05,3,Valued under $100 each,,[ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ Music synthesizers ] && [ Valued under $100 each ],organ;guitar;accordion;keyboard instrument;value;music synthesizer;example;musical instrument;produce;amplify;sound,
740,740,740,9207.10.00.10,3,Valued $100 or over each,,[ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ Music synthesizers ] && [ Valued $100 or over each ],organ;guitar;accordion;keyboard instrument;value;music synthesizer;example;musical instrument;produce;amplify;sound,
741,741,741,,2,Other,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ],organ;guitar;accordion;keyboard instrument;example;musical instrument;produce;amplify;sound,music synthesizer
742,742,742,,3,With more than one keyboard,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With more than one keyboard ],organ;guitar;accordion;keyboard instrument;keyboard;example;musical instrument;produce;amplify;sound,music synthesizer
743,743,743,9207.10.00.45,4,Valued under $200 each,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With more than one keyboard ] && [ Valued under $200 each ],organ;guitar;accordion;keyboard instrument;keyboard;value;example;musical instrument;produce;amplify;sound,music synthesizer
744,744,744,9207.10.00.55,4,Valued $200 or over each,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With more than one keyboard ] && [ Valued $200 or over each ],organ;guitar;accordion;keyboard instrument;keyboard;value;example;musical instrument;produce;amplify;sound,music synthesizer
745,745,745,,3,With one keyboard,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With one keyboard ],organ;guitar;accordion;keyboard instrument;keyboard;example;musical instrument;produce;amplify;sound,music synthesizer
746,746,746,9207.10.00.60,4,Hand-held,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With one keyboard ] && [ Hand-held ],organ;guitar;accordion;keyboard instrument;keyboard;hand;hold;example;musical instrument;produce;amplify;sound,music synthesizer
747,747,747,,4,Other,,[ [ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With one keyboard ] && [ ![ Hand-held ] ] ],organ;guitar;accordion;keyboard instrument;keyboard;example;musical instrument;produce;amplify;sound,hand;hold;music synthesizer
748,748,748,9207.10.00.65,5,Valued under $100 each,,[ [ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With one keyboard ] && [ ![ Hand-held ] ] ] && [ Valued under $100 each ],organ;guitar;accordion;keyboard instrument;keyboard;value;example;musical instrument;produce;amplify;sound,hand;hold;music synthesizer
749,749,749,9207.10.00.75,5,Valued $100 or over each,,[ [ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ Keyboard instruments &&  other than accordions ] && [ ![ Music synthesizers ] ] ] && [ With one keyboard ] && [ ![ Hand-held ] ] ] && [ Valued $100 or over each ],organ;guitar;accordion;keyboard instrument;keyboard;value;example;musical instrument;produce;amplify;sound,hand;hold;music synthesizer
750,750,750,9207.90.00,1,Other,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ ![ Keyboard instruments &&  other than accordions ] ] ],organ;guitar;accordion;example;musical instrument;produce;amplify;sound,accordion;keyboard instrument
751,751,751,9207.90.00.40,2,Fretted stringed instruments,,[ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ ![ Keyboard instruments &&  other than accordions ] ] ] && [ Fretted stringed instruments ],organ;guitar;accordion;example;musical instrument;instrument;produce;amplify;sound;fret,accordion;keyboard instrument
752,752,752,9207.90.00.80,2,Other,,[ [ [ Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions) ] && [ ![ Keyboard instruments &&  other than accordions ] ] ] && [ ![ Fretted stringed instruments ] ] ],organ;guitar;accordion;example;musical instrument;produce;amplify;sound,fret;instrument;accordion;keyboard instrument
753,753,753,9208,0,Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments,,[ Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments ],mouth;horn;mechanical singing;decoy;chapter;signal instrument;kind;music box;blow sound;musical instrument;mechanical street;whistle;street organ;musical saw;heading;fairground organ;sound signal;singing bird,
754,754,754,9208.10.00.00,1,Music boxes,,[ Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments ] && [ Music boxes ],mouth;horn;mechanical singing;decoy;chapter;signal instrument;kind;music box;blow sound;musical instrument;mechanical street;whistle;street organ;musical saw;heading;fairground organ;sound signal;singing bird,
755,755,755,9208.90.00,1,Other,,[ [ Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments ] && [ ![ Music boxes ] ] ],mouth;horn;mechanical singing;decoy;chapter;signal instrument;kind;music box;blow sound;musical instrument;mechanical street;whistle;street organ;musical saw;heading;fairground organ;sound signal;singing bird,music box
756,756,756,9208.90.00.40,2,Musical instruments,,[ [ Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments ] && [ ![ Music boxes ] ] ] && [ Musical instruments ],mouth;horn;mechanical singing;decoy;chapter;signal instrument;kind;music box;blow sound;musical instrument;mechanical street;whistle;street organ;musical saw;heading;fairground organ;sound signal;singing bird,music box
757,757,757,9208.90.00.80,2,Other,,[ [ [ Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments ] && [ ![ Music boxes ] ] ] && [ ![ Musical instruments ] ] ],mouth;horn;mechanical singing;decoy;chapter;signal instrument;kind;music box;blow sound;musical instrument;mechanical street;whistle;street organ;musical saw;heading;fairground organ;sound signal;singing bird,music box;musical instrument
758,758,758,9209,0,Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds,,[ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ],fork;mechanical instrument;disc;card;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,
759,759,759,9209.30.00.00,1,Musical instrument strings,,[ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ Musical instrument strings ],fork;mechanical instrument;instrument string;disc;card;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,
760,760,760,,1,Other,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ],fork;mechanical instrument;disc;card;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,musical instrument;instrument string
761,761,761,9209.91,2,Parts && accessories for pianos,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for pianos ],fork;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;piano;pitch pipe;mechanism;accessory,musical instrument;instrument string
762,762,762,9209.91.40.00,3,Tuning pins,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for pianos ] && [ Tuning pins ],fork;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;piano;pin;pitch pipe;mechanism;accessory,musical instrument;instrument string
763,763,763,9209.91.80.00,3,Other,,[ [ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for pianos ] && [ ![ Tuning pins ] ] ],fork;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;piano;pitch pipe;mechanism;accessory,pin;musical instrument;instrument string
764,764,764,9209.92,2,Parts && accessories for the musical instruments of heading 9202,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9202 ],fork;head;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,musical instrument;instrument string
765,765,765,9209.92.20.00,3,Mutes &&  collapsible musical instrument stands && music holders for attachment to musical instruments,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9202 ] && [ Mutes &&  collapsible musical instrument stands && music holders for attachment to musical instruments ],fork;head;collapsible musical;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;mutes;attachment;instrument stand;pitch pipe;music holder;mechanism;accessory,musical instrument;instrument string
766,766,766,9209.92.40.00,3,Tuning pins,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9202 ] && [ Tuning pins ],fork;head;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;pin;pitch pipe;mechanism;accessory,musical instrument;instrument string
767,767,767,9209.92.60.00,3,Bows &&  parts of bows &&  bow hair &&  chin rests && other parts && accessories for string instruments played with a bow,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9202 ] && [ Bows &&  parts of bows &&  bow hair &&  chin rests && other parts && accessories for string instruments played with a bow ],fork;head;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;hair;chin rest;instrument;pitch pipe;mechanism;accessory;bows;bow,musical instrument;instrument string
768,768,768,9209.92.80.00,3,Other,,[ [ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9202 ] && [ ![ Bows &&  parts of bows &&  bow hair &&  chin rests && other parts && accessories for string instruments played with a bow ] && ![ Tuning pins ] && ![ Mutes &&  collapsible musical instrument stands && music holders for attachment to musical instruments ] ] ],fork;head;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,collapsible musical;instrument string;hair;mutes;pin;instrument stand;musical instrument;chin rest;attachment;instrument;music holder;bows;accessory;bow
769,769,769,9209.94,2,Parts && accessories for the musical instruments of heading 9207,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9207 ],fork;head;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,musical instrument;instrument string
770,770,770,9209.94.40.00,3,Collapsible musical instrument stands,,[ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9207 ] && [ Collapsible musical instrument stands ],fork;head;collapsible musical;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;instrument stand;pitch pipe;mechanism;accessory,musical instrument;instrument string
771,771,771,9209.94.80.00,3,Other,,[ [ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ Parts && accessories for the musical instruments of heading 9207 ] && [ ![ Collapsible musical instrument stands ] ] ],fork;head;mechanical instrument;disc;card;parts;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,collapsible musical;instrument stand;musical instrument;instrument string
772,772,772,9209.99,2,Other,,[ [ [ Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds ] && [ ![ Musical instrument strings ] ] ] && [ ![ Parts && accessories for the musical instruments of heading 9207 ] && ![ Parts && accessories for the musical instruments of heading 9202 ] && ![ Parts && accessories for pianos ] ] ],fork;mechanical instrument;disc;card;music box;kind;example;musical instrument;pitch pipe;mechanism;accessory,head;instrument string;parts;piano;musical instrument;accessory
