,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
1224,1224,1224,9405.60.60.00,2,Other,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Illuminated signs &&  illuminated nameplates && the like ] && [ ![ Of base metal ] ] ],fix light;sign;light fitting;spotlight;nameplate;like;light source;lamps,base metal
1225,1225,1225,,1,Parts,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ],fix light;sign;light fitting;spotlight;nameplate;like;light source;lamps,
1226,1226,1226,9405.91,2,Of glass,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ],fix light;sign;parts;light fitting;spotlight;nameplate;like;glass;light source;lamps,
1227,1227,1227,,3,Globes && shades,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ Globes && shades ],globes;fix light;sign;parts;shade;light fitting;spotlight;nameplate;like;glass;light source;lamps,
1228,1228,1228,9405.91.10.00,4,Of lead crystal,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ Globes && shades ] && [ Of lead crystal ],globes;fix light;sign;parts;shade;light fitting;spotlight;lead crystal;nameplate;like;glass;light source;lamps,
1229,1229,1229,9405.91.30.00,4,Other,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ Globes && shades ] && [ ![ Of lead crystal ] ] ],globes;fix light;sign;parts;shade;light fitting;spotlight;nameplate;like;glass;light source;lamps,lead crystal
1230,1230,1230,9405.91.40.00,3,Chimneys,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ Chimneys ],fix light;sign;parts;light fitting;spotlight;nameplate;like;glass;chimneys;light source;lamps,
1231,1231,1231,9405.91.60,3,Other,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ ![ Chimneys ] && ![ Globes && shades ] ] ],fix light;sign;parts;light fitting;spotlight;nameplate;like;glass;light source;lamps,shade;chimneys;globes
1232,1232,1232,9405.91.60.40,4,Prisms && other glass articles of a kind used in chandeliers && wall brackets &&  && articles thereof,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ ![ Chimneys ] && ![ Globes && shades ] ] ] && [ Prisms && other glass articles of a kind used in chandeliers && wall brackets &&  && articles thereof ],glass article;fix light;chandelier;sign;parts;light fitting;spotlight;wall bracket;nameplate;like;prism;glass;kind use;light source;lamps,shade;chimneys;globes
1233,1233,1233,9405.91.60.80,4,Other,,[ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of glass ] && [ ![ Chimneys ] && ![ Globes && shades ] ] ] && [ ![ Prisms && other glass articles of a kind used in chandeliers && wall brackets &&  && articles thereof ] ] ],fix light;sign;parts;light fitting;spotlight;nameplate;like;glass;light source;lamps,globes;glass article;chandelier;shade;wall bracket;prism;chimneys;kind use
1234,1234,1234,9405.92.00.00,2,Of plastics,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ Of plastics ],fix light;sign;parts;light fitting;plastic;spotlight;nameplate;like;light source;lamps,
1235,1235,1235,9405.99,2,Other,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ ![ Of plastics ] && ![ Of glass ] ] ],fix light;sign;parts;light fitting;spotlight;nameplate;like;light source;lamps,glass;plastic
1236,1236,1236,9405.99.20.00,3,Of brass,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ ![ Of plastics ] && ![ Of glass ] ] ] && [ Of brass ],fix light;sign;parts;light fitting;spotlight;brass;nameplate;like;light source;lamps,glass;plastic
1237,1237,1237,9405.99.40,3,Other,,[ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ ![ Of plastics ] && ![ Of glass ] ] ] && [ ![ Of brass ] ] ],fix light;sign;parts;light fitting;spotlight;nameplate;like;light source;lamps,glass;brass;plastic
1238,1238,1238,9405.99.40.10,4,Lampposts && bases for lampposts &&  of cast iron,,[ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ ![ Of plastics ] && ![ Of glass ] ] ] && [ ![ Of brass ] ] ] && [ Lampposts && bases for lampposts &&  of cast iron ],cast iron;fix light;base;sign;parts;lampposts;light fitting;spotlight;lamppost;nameplate;like;light source;lamps,glass;brass;plastic
1239,1239,1239,9405.99.40.20,4,Lampposts && bases for lampposts &&  of aluminum,,[ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ ![ Of plastics ] && ![ Of glass ] ] ] && [ ![ Of brass ] ] ] && [ Lampposts && bases for lampposts &&  of aluminum ],fix light;base;sign;parts;lampposts;light fitting;spotlight;lamppost;aluminum;nameplate;like;light source;lamps,glass;brass;plastic
1240,1240,1240,9405.99.40.90,4,Other,,[ [ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Parts ] && [ ![ Of plastics ] && ![ Of glass ] ] ] && [ ![ Of brass ] ] ] && [ ![ Lampposts && bases for lampposts &&  of aluminum ] && ![ Lampposts && bases for lampposts &&  of cast iron ] ] ],fix light;sign;parts;light fitting;spotlight;nameplate;like;light source;lamps,cast iron;base;plastic;lamppost;brass;aluminum;glass;lampposts
1241,1241,1241,9406,0,Prefabricated buildings,,[ Prefabricated buildings ],building,
