Clibadium alatum
Crotalaria poissonii
Stenospermation subellipticum
Betula fontqueri
Aeranthes leandriana
Myristica pygmaea
Melanophylla modestei
Magnolia cristalensis
Malus zumi
Palicourea lobbii
Cenchrus pseudotriticoides
Orophea uniflora
Beta nana
Neoschumannia kamerunensis
Piper molliusculum
Ranunculus batrachioides
Mimosa kitrokala
Rhopalocarpus triplinervius
Justicia euosmia
Malus kansuensis
Bulbophyllum modicum
Prunus munsoniana
Allium scabriscapum
Echinocereus poselgeri
Hatiora cylindrica
Cecropia tubulosa
Cornutia obovata
Allophylus rapensis
Cinchona lucumifolia
Pinus heldreichii
Chara setosa
Buchnera wildii
Maytenus jefeana
Elaeocarpus dinagatensis
Dypsis thiryana
Grias multinervia
Heteropanax nitentifolius
Quararibea santaritensis
Blechnum sodiroi
Mimosa implexa
Neolloydia matehualensis
Placodiscus pseudostipularis
Cyanea procera
Rebutia krugerae
Ziziphus talanai
Anemone halleri
Rhynchospora jamaicensis
Diaphananthe polydactyla
Asplenium dielpallidum
Stachys palustris
Centaurea pulvinata
Portulaca kuriensis
Durio pinangianus
Neomitranthes langsdorfii
Diplazium angulosum
Epipactis dunensis
Caladenia mesocera
Globba praecox
Neraudia dentata
Nepenthes villosa
Manilkara paraensis
Bulbophyllum gravidum
Ornithoboea leptonema
Murbeckiella sousae
Stevia crenata
Hamadryas argentea
Kokoona littoralis
Cyperus microbolbos
Casearia aculeata
Jacquinia macrantha
Diospyros capricornuta
Buddleja lanata
Ecbolium benoistii
Mundulea anceps
Clusia osseocarpa
Psychotria lanceifolia
Ravenea delicatula
Tahina spectabilis
Brosimum glaziovii
Graffenrieda harlingii
Gravesia glandulosa
Craibiodendron scleranthum
Physalis porrecta
Cercocarpus traskiae
Eschweilera longirachis
Verbascum purpureum
Anthurium hebetatilaminum
Dianthus morisianus
Pappobolus hypargyreus
Sorbus dominii
Glyceria septentrionalis
Betula coriaceifolia
Sorbus stenophylla
Micropholis emarginata
Astrophytum caput-medusae
Indigofera cecili
Podorungia clandestina
Corrigiola telephiifolia
Echiochilon pulvinata
Lyonia maestrensis
Apiopetalum velutinum
Cycas brachycantha
Eugenia toxanatolica
Axinaea sessilifolia
Brownlowia velutina
Eugenia brachythrix
Crambe grandiflora
Eriocaulon sivarajanii
