iucn_status_code,genus,species,common_names
CR,Grisollea,thomassetii,bwa mare;bwa gro la po
VU,Pandanus,balfourii,;balfour’s pandanus
VU,Pandanus,balfourii,vakwa bordmer;balfour’s pandanus
VU,Martellidendron,hornei,;horne’s pandanus
VU,Martellidendron,hornei,vakwa parasol;horne’s pandanus
NT,Pandanus,multispicatus,vakwa montanny
NT,Pandanus,multispicatus,vakwa milpat
NT,Pandanus,sechellarum,vakwa maron;seychelles pandanus
NT,Pandanus,sechellarum,seychelles pandanus;seychelles pandanus
EN,Craterispermum,microdon,bwa dou
NT,Ixora,pudica,ikzora blan
CR,Rothmannia,annae,wright's gardenia;wright's gardenia
CR,Rothmannia,annae,bwa citron;wright's gardenia
NT,Mimusops,sechellarum,bwa-d-nat
VU,Soulamea,terminalioides,colophant
CR,Drypetes,riseleyi,bwa mare pti fey
VU,Ficus,bojeri,
LC,Memecylon,elaeagni,bwa kalou
VU,Northia,hornei,
EN,Canarium,paniculatum,
CR,Diospyros,angulata,;bois d'ébène feuilles
VU,Diospyros,boutoniana,;bois d'ébène marbre à grosses feuilles
CR,Diospyros,chrysophyllos,;bois d'ébène blanc
VU,Diospyros,leucomelas,;bois d'ébène marbre feuilles
CR,Croton,vaughanii,
EN,Macaranga,mauritiana,
EX,Casearia,tinifolia,
EN,Dracaena,concinna,bois de chandelle;bois de chandelle
EN,Dracaena,floribunda,
CR,Badula,platyphylla,
CR,Badula,reticulata,
EN,Athrotaxis,laxifolia,
EN,Eucalyptus,morrisbyi,morrisby's gum;morrisby's gum
CR,Pherosphaera,fitzgeraldii,dwarf mountain pine;dwarf mountain pine
NT,Agathis,atropurpurea,blue kauri pine;blue kauri pine
NT,Agathis,atropurpurea,black kauri pine;blue kauri pine
NT,Agathis,atropurpurea,black kauri;blue kauri pine
NT,Agathis,atropurpurea,blue kauri;blue kauri pine
NT,Agathis,microstachya,atherton kauri pine;atherton kauri pine
NT,Agathis,microstachya,bull kauri;atherton kauri pine
NT,Agathis,microstachya,bull pine;atherton kauri pine
LR/lc,Aglaia,argentea,tanglar
LR/lc,Aglaia,argentea,kakaduan
LR/lc,Aglaia,argentea,selang
LR/lc,Aglaia,argentea,luka-lukam
LR/lc,Aglaia,argentea,bayur
LR/lc,Aglaia,argentea,bangsal
LR/lc,Aglaia,argentea,pasak
LR/lc,Aglaia,argentea,sido
LR/lc,Aglaia,argentea,balik angin
LR/lc,Aglaia,argentea,kesemeg
LR/lc,Aglaia,argentea,balik sempa
LR/lc,Aglaia,argentea,durenen
EN,Xanthostemon,oppositifolius,
CR,Diospyros,egrettarum,;bois d'ébène d'ile aux aigrettes feuilles
VU,Diospyros,revaughanii,;bois d'ébène feuilles
CR,Diospyros,hemiteles,;bois d'ébène feuilles
VU,Callitris,oblonga,dwarf cypress-pine;tasmanian cypress-pine
VU,Callitris,oblonga,tasmanian cypress-pine;tasmanian cypress-pine
VU,Callitris,oblonga,river pine;tasmanian cypress-pine
VU,Callitris,oblonga,pigmy cypres-pine;tasmanian cypress-pine
EN,Poupartia,pubescens,bois de poupart;bois de poupart
EN,Poupartia,pubescens,bois blanc;bois de poupart
CR,Xylopia,amplexicaulis,
VU,Xylopia,richardii,bois de banane;bois de banane
CR,Xylopia,lamarckii,
CR,Weinmannia,tinctoria,;arbre mouche à miel
VU,Diospyros,melanida,;bois d'ébène blanc feuilles
VU,Diospyros,neraudii,;bois d'ébène feuilles
CR,Diospyros,nodosa,;bois d'ébène feuilles
VU,Diospyros,pterocalyx,;bois d'ébène à calice ailé feuilles
VU,Diospyros,tessellaria,;black ebony
VU,Diospyros,tessellaria,black ebony;black ebony
CR,Elaeocarpus,bojeri,
CR,Elaeocarpus,integrifolius,
CR,Casearia,mauritiana,
CR,Ficus,lateriflora,
CR,Eugenia,bojeri,
CR,Olax,psittacorum,boisperroquet;bois de perroquet
CR,Olax,psittacorum,bois de perroquet;bois de perroquet
CR,Zanthoxylum,heterophyllum,bois de catafaille nois;bois de catafaille nois
EW,Trochetiopsis,erythroxylon,st helena redwood;st helena redwood
EW,Trochetiopsis,erythroxylon,redwood;st helena redwood
EX,Trochetiopsis,melanoxylon,st helena ebony tree;st helena ebony tree
VU,Annona,spraguei,chirimoya;chirimoya
VU,Guatteria,panamensis,
EN,Stenanona,panamensis,
EN,Aspidosperma,darienense,
DD,Dendropanax,darienensis,
VU,Dendropanax,sessiliflorus,
DD,Schefflera,seibertii,
CR,Amphitecna,spathicalyx,
CR,Parmentiera,morii,
VU,Tabebuia,striata,
EN,Gyranthera,darienensis,;cucarrón
EN,Gyranthera,darienensis,;cucarrón
VU,Hampea,micrantha,
EN,Matisia,dolichopoda,
VU,Protium,correae,
VU,Protium,inconforme,chutra;chutra
LR/nt,Protium,panamense,copal;copal
LR/nt,Protium,panamense,copa;copal
VU,Protium,pittieri,
LR/nt,Buxus,citrifolia,
DD,Capparis,crotonantha,
CR,Capparis,mirifica,
CR,Capparis,panamensis,
DD,Capparis,uniflora,
DD,Steriphoma,macranthum,
LR/nt,Zinowiewia,costaricensis,
CR,Licania,chiriquiensis,
DD,Caryodendron,angustifolium,
DD,Pera,aperta,
EN,Casearia,atlantica,
VU,Laetia,micrantha,raspalenqua;raspalenqua
VU,Clusia,dukei,;copei
VU,Clusia,dukei,copei;copei
VU,Clusia,cupulata,
VU,Clusia,longipetiolata,
VU,Clusia,osseocarpa,
DD,Symphonia,globulifera,ahoke
DD,Symphonia,angustifolia,ahoke
DD,Symphonia,globulifera,nom-ouie
DD,Symphonia,angustifolia,nom-ouie
DD,Symphonia,globulifera,ossol
DD,Symphonia,angustifolia,ossol
EN,Vismia,jefensis,
VU,Ocotea,viridiflora,
VU,Persea,obtusifolia,
VU,Couratari,guianensis,coatari;fine-leaf wadara
VU,Couratari,guianensis,coco cabuyo;fine-leaf wadara
VU,Couratari,guianensis,fine-leaf wadara;fine-leaf wadara
VU,Couratari,guianensis,wadara;fine-leaf wadara
VU,Couratari,guianensis,copo hediondo;fine-leaf wadara
VU,Couratari,guianensis,cachimbo;fine-leaf wadara
VU,Couratari,guianensis,cachimbo caspi;fine-leaf wadara
VU,Couratari,guianensis,tauary;fine-leaf wadara
VU,Couratari,guianensis,tauari;fine-leaf wadara
VU,Couratari,guianensis,capa de tabaco;fine-leaf wadara
VU,Couratari,guianensis,irimariye;fine-leaf wadara
VU,Gustavia,fosteri,membrillo;membrillo
EN,Gustavia,monocaulis,
VU,Browneopsis,excelsa,
VU,Centrolobium,yavizanum,amarillo guayaquil;amarillo guayaquil
VU,Centrolobium,yavizanum,;amarillo guayaquil
VU,Copaifera,panamensis,cabimo;cabimo
LR/nt,Inga,hayesii,piva;guamo
LR/nt,Inga,hayesii,guamo;guamo
LR/nt,Inga,hayesii,guavo;guamo
VU,Inga,pauciflora,;guabita de río
VU,Inga,saffordiana,
VU,Lonchocarpus,calcaratus,
VU,Lonchocarpus,chiricanus,
DD,Lonchocarpus,guatemalensis,
DD,Lonchocarpus,proteranthus,
VU,Machaerium,chambersii,
VU,Machaerium,glabripes,
EN,Macrolobium,pittieri,
DD,Ormosia,cruenta,
EN,Swartzia,nuda,
CR,Byrsonima,nemoralis,
EN,Wercklea,cocleana,
EN,Wercklea,grandiflora,
EN,Blakea,brunnea,
VU,Conostegia,chiriquensis,
EN,Meriania,panamensis,
VU,Mouriri,panamensis,
VU,Hyperbaena,allenii,
VU,Brosimum,utile,palo de vaca;milk tree
VU,Brosimum,utile,sande;milk tree
VU,Brosimum,utile,cow tree;milk tree
VU,Brosimum,utile,milk tree;milk tree
VU,Brosimum,utile,baco;milk tree
VU,Brosimum,utile,mastate;milk tree
EN,Cecropia,longipes,guarumo amarillo;guarumo amarillo
EN,Cecropia,longipes,guarumo poludo;guarumo amarillo
DD,Cecropia,maxonii,guarumo;guarumo
CR,Iryanthera,megistocarpa,
EN,Virola,megacarpa,
DD,Ardisia,antonensis,
VU,Ardisia,furfuracella,
DD,Ardisia,geniculata,
EN,Ardisia,glomerata,
DD,Ardisia,hagenii,
EN,Ardisia,microcalyx,
LR/nt,Ardisia,opaca,mala sombra;mala sombra
VU,Ardisia,panamensis,
EN,Ardisia,scheryi,
VU,Ardisia,subsessilifolia,hoja lisa;hoja lisa
VU,Parathesis,amplifolia,
DD,Calyptranthes,johnstonii,
DD,Eugenia,salamancana,
EN,Neea,amplexicaulis,
VU,Neea,darienensis,
VU,Ouratea,cocleensis,
LR/nt,Piper,cordulatum,
DD,Piper,distigmatum,
LR/nt,Piper,lucigaudens,
DD,Piper,lucigaudens,
DD,Piper,alleni,
DD,Rhamnidium,caloneurum,
VU,Tocoyena,pittieri,
CR,Pouteria,euryphylla,
EN,Saurauia,seibertii,
VU,Rinorea,brachythrix,
LR/lc,Rinorea,dasyadena,
VU,Ilex,costaricensis,
VU,Ilex,pallida,
VU,Ilex,vulcanicola,
VU,Oreopanax,oerstediana,
VU,Quercus,costaricensis,roble negro;roble negro
DD,Quercus,tonduzii,roble
EN,Oreomunnea,pterocarpa,;gavilán blanco
EN,Oreomunnea,pterocarpa,;gavilán blanco
VU,Ocotea,rivularis,
VU,Persea,brenesii,
EN,Inga,latipes,
EN,Inga,stenophylla,
VU,Trichilia,pittieri,cedro cobano
EN,Zanthoxylum,ferrugineum,
CR,Manilkara,spectabilis,
LR/nt,Rinorea,crenata,
EN,Cymbopetalum,mayanum,
VU,Ilex,quercetorum,
VU,Oreopanax,arcanus,
DD,Viburnum,mortonianum,
LR/lc,Eschweilera,pittieri,
LR/lc,Ormosia,panamensis,alcornoque;sur espino
LR/lc,Ormosia,panamensis,peronil;sur espino
LR/lc,Ormosia,panamensis,sur espino;sur espino
LR/lc,Ormosia,panamensis,coronil;sur espino
DD,Parathesis,panamensis,
DD,Ouratea,patelliformis,
LR/lc,Inga,micheliana,jacanaquil;guaba de montaña
LR/lc,Inga,micheliana,cuajiniquil;guaba de montaña
LR/lc,Inga,micheliana,;guaba de montaña
LR/lc,Inga,micheliana,guajinicuil;guaba de montaña
EN,Lonchocarpus,phlebophyllus,
EN,Pithecellobium,saxosum,
VU,Trichilia,chirriactensis,cuajalote
EN,Blepharidium,guatemalense,
VU,Pouteria,areolatifolia,silion
VU,Pouteria,areolatifolia,zapotillo
VU,Pouteria,briocheoides,zapotillp colarado
CR,Ilex,williamsii,
CR,Oreopanax,lempiranus,
EN,Amphitecna,molinae,
CR,Viburnum,molinae,
CR,Viburnum,subpubescens,
CR,Maytenus,williamsii,
CR,Connarus,popenoei,
CR,Casearia,williamsiana,
CR,Molinadendron,hondurense,
VU,Alfaroa,hondurensis,
EN,Juglans,olanchana,
CR,Dalbergia,intibucana,
CR,Lonchocarpus,molinae,
CR,Lonchocarpus,sanctuarii,
CR,Lonchocarpus,trifolius,
CR,Gentlea,molinae,
CR,Eugenia,lancetillae,
CR,Forestiera,hondurensis,
VU,Allenanthus,hondurensis,
CR,Symplocos,molinae,
CR,Ternstroemia,landae,
VU,Hampea,reynae,majagua;majagua
EN,Lonchocarpus,retiferus,
EN,Zanthoxylum,gentlei,
LR/cd,Viburnum,elatum,
LR/lc,Crossopetalum,parvifolium,
VU,Maytenus,matudai,
EN,Wimmeria,acuminata,
EN,Wimmeria,chiapensis,
EN,Wimmeria,montana,
CR,Platymiscium,albertinae,
EN,Taxus,globosa,mesoamerican yew;mesoamerican yew
EN,Taxus,globosa,romerillo;mesoamerican yew
EN,Taxus,globosa,;mesoamerican yew
EN,Taxus,globosa,tejo mexicano;mesoamerican yew
EN,Taxus,globosa,pinabete colorado;mesoamerican yew
EN,Taxus,globosa,mexican yew;mesoamerican yew
EN,Taxus,globosa,cipresillo;mesoamerican yew
EN,Taxus,globosa,tacxi;mesoamerican yew
EN,Taxus,globosa,ciprecillo colorado;mesoamerican yew
EN,Taxus,globosa,granadillo;mesoamerican yew
EN,Taxus,globosa,tlastscal;mesoamerican yew
EN,Quercus,brandegeei,encino arroyero;encino arroyero
VU,Quercus,cedrosensis,cedros island oak;cedros island oak
VU,Quercus,deliquescens,
LR/lc,Quercus,depressa,
VU,Quercus,devia,
LR/lc,Quercus,fulva,
CR,Quercus,hintonii,encino prieto;encino prieto
DD,Quercus,hypoxantha,
LR/lc,Quercus,martinezii,
DD,Quercus,peninsularis,pacific emory oak;pacific emory oak
LR/lc,Quercus,planipocula,
DD,Quercus,praineana,
DD,Quercus,rysophylla,
VU,Quercus,uxoris,
CR,Tontelea,hondurensis,
VU,Couratari,scottmorii,copo;copo hediondo
VU,Couratari,scottmorii,cachimbo;copo hediondo
VU,Couratari,scottmorii,copo hediondo;copo hediondo
VU,Couratari,scottmorii,matasano;copo hediondo
VU,Gustavia,verticillata,
DD,Dalbergia,funera,ebano;funera
DD,Dalbergia,funera,funera;funera
CR,Poupartia,borbonica,bois de poupart;bois de poupart
VU,Terminalia,benzoin,bois binjoin;bois binjoin
VU,Terminalia,benzoin,bois bezoin;bois binjoin
VU,Terminalia,benzoin,benjoin;bois binjoin
EN,Hernandia,mascarenensis,bois blanc;bois blanc
EN,Aloe,eminens,
LC,Betula,raddeana,radde's birch;radde's birch
LC,Betula,raddeana,beresa radde;radde's birch
LC,Betula,raddeana,rades arki;radde's birch
CR,Swida,darvasica,
LC,Microbiota,decussata,siberian cypress;siberian cypress
VU,Alfaroa,mexicana,
LR/cd,Ocotea,clarkei,
VU,Persea,floccosa,aguacate cimaron
LC,Persea,liebmannii,
VU,Persea,podadenia,
VU,Persea,glabriramea,
LR/lc,Acacia,chiapensis,
VU,Magnolia,schiedeana,
VU,Hampea,breedlovei,
EN,Hampea,montebellensis,
VU,Robinsonella,mirandae,
VU,Eugenia,mexicana,
EN,Rhamnus,matudai,
EN,Rhamnus,capraeifolia,
LR/lc,Saurauia,pustulata,
EN,Saurauia,serrata,
CR,Clermontia,peleana,
CR,Clermontia,peleana,
EN,Clermontia,tuberculata,worty clermontia;haleakala clermontia
EN,Clermontia,tuberculata,haleakala clermontia;haleakala clermontia
CR,Cyanea,procera,haha;haha
EN,Dubautia,arborea,tree dubautia;tree dubautia
EN,Dubautia,arborea,na'ena'e;tree dubautia
LR/nt,Cryptocarya,mannii,holio;mann cryptocarya
LR/nt,Cryptocarya,mannii,mann cryptocarya;mann cryptocarya
CR,Charpentiera,densiflora,dense-flowered charpentiera;dense-flowered charpentiera
